ID,Company,Model,Segment,Predictia modelului
118,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Medium MPV
119,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Compact
120,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Compact
121,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Compact
122,MINI,MINI Mini Cooper 3-door (2021-Present),Compact,Small
123,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Entry Premium
124,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Compact
125,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
126,OPEL,2020 Opel Corsa,Compact,Compact
127,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
128,TOYOTA,TOYOTA Corolla (2018-Present),Compact,Compact
129,PEUGEOT,PEUGEOT 308 GTi (2017-Present),Compact,Compact
130,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Coupe Cabrio
131,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
132,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Compact
133,KIA,KIA cee'd (2015-Present),Compact,Compact
134,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
135,SKODA,SKODA Rapid (2012-Present),Compact,Compact
136,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
137,VOLKSWAGEN,VOLKSWAGEN Golf Sportsvan (2017-Present),Compact,Medium MPV
138,SEAT,SEAT Leon SC 3-doors (2017-Present),Compact,Compact
139,FORD,FORD Focus ST (2021-Present),Compact,Compact
140,SEAT,SEAT Leon Cupra (2013-Present),Compact,Compact
141,OPEL,2022 Opel Astra Sport Tourer,Compact,Compact
142,MERCEDES BENZ,MERCEDES BENZ C-Class All-Terrain (2021-Present),Compact,Medium Premium
143,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
144,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Lower Premium
145,MITSUBISHI,MITSUBISHI Lancer Sportback (2008-Present),Compact,Compact
146,OPEL,2022 Opel Astra Sport Tourer,Compact,Compact
147,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
148,ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),Compact,Compact
149,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Crossover
150,KIA,2019 Kia ProCeed,Compact,Compact
151,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Compact
152,OPEL,2022 Opel Astra Sport Tourer,Compact,Compact
153,CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Compact
154,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Crossover
155,PROTON,PROTON Preve (2011-Present),Compact,Compact
156,AUDI,AUDI A3 Sedan (2020-Present),Compact,Compact
157,OPEL,2020 Opel Corsa,Compact,Crossover
158,SKODA,SKODA Rapid (2012-Present),Compact,Compact
159,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Lower Premium
160,KIA,2019 Kia ProCeed,Compact,Compact
161,AUDI,AUDI A3 Cabriolet (2016-Present),Compact,Compact
162,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
163,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
164,VOLKSWAGEN,2022 Volkswagen Polo GTI,Compact,Compact
165,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
166,FIAT,FIAT Panda (2011-Present),Compact,Mini
167,KIA,2012 Kia cee'd,Compact,Compact
168,VOLKSWAGEN,VOLKSWAGEN Golf Sportsvan (2017-Present),Compact,Medium MPV
169,KIA,KIA cee'd (2015-Present),Compact,Compact
170,SKODA,SKODA Superb (2019-Present),Compact,Medium
171,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
172,RENAULT,RENAULT Megane Coupe - Cabrio (2014-Present),Compact,Compact
173,AUDI,AUDI A3 Sedan (2020-Present),Compact,Compact
174,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Entry Premium
175,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Compact
176,CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Compact
177,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Compact
178,BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Medium MPV
179,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
180,BMW,BMW 1 Series (F40) (2019-Present),Compact,Compact
181,MERCEDES BENZ,MERCEDES BENZ A-Class Sedan (V177) (2018-Present),Compact,Compact
182,OPEL,2022 Opel Astra Sport Tourer,Compact,Compact
183,MERCEDES BENZ,2019 Mercedes-Benz CLA Shooting Brake,Compact,Entry Premium
184,QOROS,QOROS 3 Hatchbach (2014-Present),Compact,Compact
185,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
186,CITROEN,2013 Citroen C-Elysee,Compact,Compact
187,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
188,MAZDA,2019 Mazda 3/Axela Hatchback,Compact,Compact
189,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
190,FIAT,Fiat 500C Abarth,Compact,Mini
191,CITROEN,CITROEN C3 (2019-Present),Compact,Compact
192,SKODA,SKODA Rapid (2012-Present),Compact,Compact
193,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
194,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
195,AUDI,AUDI S6 Sedan (2019-Present),Compact,Lower Premium
196,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
197,SKODA,SKODA Rapid (2012-Present),Compact,Compact
198,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
199,DS AUTOMOBILES,DS AUTOMOBILES DS 4 (2021-Present),Compact,Compact
200,MERCEDES BENZ,MERCEDES BENZ C-Class All-Terrain (2021-Present),Compact,Compact
201,OPEL,OPEL Astra GTC (2011-Present),Compact,Compact
202,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
203,KIA,KIA cee'd (2015-Present),Compact,Compact
204,Mercedes-AMG,Mercedes-AMG C43 AMG Estate (2022-Present),Compact,Compact
205,DACIA,DACIA Logan MCV Stepway (2017-Present),Compact,Compact
206,BMW,BMW 1 Series (F40) (2019-Present),Compact,Compact
207,KIA,KIA cee'd (2015-Present),Compact,Compact
208,GENESIS,GENESIS G70 Shooting Brake (2021-Present),Compact,Medium
209,SEAT,SEAT Leon Cupra (2013-Present),Compact,Compact
210,DACIA,DACIA Logan MCV Stepway (2017-Present),Compact,Compact
211,OPEL,OPEL Astra Sport Sedan (2012-Present),Compact,Compact
212,AUDI,AUDI RS4 Avant (B9) (2019-Present),Compact,Compact
213,CITROEN,CITROEN DS5 (2011-Present),Compact,Compact
214,SKODA,SKODA Rapid Spaceback (2013-Present),Compact,Compact
215,AUDI,AUDI A3 Sportback (2020-Present),Compact,Compact
216,VOLKSWAGEN,VOLKSWAGEN Golf Variant (2020-Present),Compact,Compact
217,DS AUTOMOBILES,DS AUTOMOBILES DS 4 (2021-Present),Compact,Compact
