ID,Company,Model,Segment,Predictia modelului
1159,MERCEDES BENZ,2019 Mercedes-Benz CLA Coupe,Entry Premium,Entry Premium
1160,MERCEDES BENZ,2019 Mercedes-Benz CLA Coupe,Entry Premium,Entry Premium
1161,BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Compact
1162,MERCEDES BENZ,2019 Mercedes-Benz CLA Coupe,Entry Premium,Entry Premium
1163,BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Compact
1164,MERCEDES BENZ,2019 Mercedes-Benz CLA Coupe,Entry Premium,Entry Premium
1165,MERCEDES BENZ,2019 Mercedes-Benz CLA Coupe,Entry Premium,Entry Premium
1166,BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Compact
1167,AUDI,AUDI A1 Sportback (2018-Present),Entry Premium,Crossover
1168,MERCEDES BENZ,2019 Mercedes-Benz CLA Coupe,Entry Premium,Entry Premium
1169,BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Compact
1170,AUDI,AUDI A1 Sportback (2018-Present),Entry Premium,Crossover
1178,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Large
1179,VAUXHALL,2022 Vauxhall Astra Sports Tourer,Large,Coupe Cabrio
1180,LEXUS,LEXUS LS (2020-Present),Large,Large
1181,AUDI,AUDI A7 Sportback (2017-Present),Large,Medium Premium
1182,AUDI,AUDI A7 Sportback (2017-Present),Large,Lower Premium
1183,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Medium
1184,VOLVO,VOLVO S90 (2019-Present),Large,Medium
1185,AUDI,AUDI A8 L (2017-Present),Large,Large
1186,CITROEN,CITROEN C5 Crosstourer (2014-Present),Large,Medium
1187,MAZDA,MAZDA 6 / Atenza Sedan (2018-Present),Large,Large
1188,AUDI,AUDI A7 Sportback (2017-Present),Large,Medium Premium
1189,BMW,BMW 5 Series Touring (G31 LCI) (2020-Present),Large,Large
1190,VOLVO,VOLVO V90 (2019-Present),Large,Luxury
1191,BMW,BMW 5 Series Touring (G31 LCI) (2020-Present),Large,Luxury
1192,VOLVO,VOLVO S90 (2019-Present),Large,Large
1193,VOLVO,VOLVO S90 (2019-Present),Large,Large
1194,CITROEN,CITROEN C5 Crosstourer (2014-Present),Large,Large
1195,BMW,BMW 5 Series Touring (G31 LCI) (2020-Present),Large,Medium
1196,AUDI,AUDI A8 L (2017-Present),Large,Luxury
1197,MAZDA,MAZDA 6 / Atenza Wagon (2015-Present),Large,Medium
1198,MAZDA,MAZDA 6 / Atenza Wagon (2015-Present),Large,Medium
1199,RENAULT,RENAULT Latitude (2010-Present),Large,Large
1200,HYUNDAI,HYUNDAI i40 Wagon (2018-Present),Large,Medium
1201,RENAULT,RENAULT Latitude (2010-Present),Large,Medium
1202,LEXUS,LEXUS LS (2020-Present),Large,Large
1203,MAZDA,MAZDA 6 / Atenza Wagon (2015-Present),Large,Medium
1204,RENAULT,RENAULT Latitude (2010-Present),Large,Medium
1205,RENAULT,RENAULT Latitude (2010-Present),Large,Large
1206,AUDI,AUDI A8 L (2017-Present),Large,Luxury
1207,CITROEN,CITROEN C5 Crosstourer (2014-Present),Large,Medium
1208,AUDI,AUDI A8 (2017-Present),Large,Large
1209,VOLVO,VOLVO V90 (2019-Present),Large,Medium
1210,VOLVO,VOLVO V90 (2019-Present),Large,Medium
1211,MAZDA,MAZDA 6 / Atenza Wagon (2015-Present),Large,Medium
1212,VOLVO,VOLVO S90 (2019-Present),Large,Medium Premium
1213,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Large
1214,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Medium
1215,VOLVO,VOLVO V90 (2019-Present),Large,Large
1216,VOLVO,VOLVO V90 (2019-Present),Large,Large
1217,MAZDA,MAZDA 6 / Atenza Sedan (2018-Present),Large,Large
1218,VOLVO,VOLVO V90 (2019-Present),Large,Medium
1219,BMW,BMW 5 Series Touring (G31 LCI) (2020-Present),Large,Luxury
1220,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Medium
1221,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Large
1222,HYUNDAI,HYUNDAI i40 Wagon (2018-Present),Large,Medium
1223,VOLVO,VOLVO V90 (2019-Present),Large,Medium
1224,RENAULT,RENAULT Latitude (2010-Present),Large,Large
1225,VOLVO,VOLVO V90 (2019-Present),Large,Large
1226,AUDI,AUDI A8 (2017-Present),Large,Luxury
1227,MAZDA,MAZDA 6 / Atenza Sedan (2018-Present),Large,Large
1228,BMW,BMW 5 Series Touring (G31 LCI) (2020-Present),Large,Large
1229,SKODA,SKODA Superb Scout (2019-Present),Large,Medium
1230,VOLVO,VOLVO V90 (2019-Present),Large,Large
1231,AUDI,AUDI A7 Sportback (2017-Present),Large,Lower Premium
1232,AUDI,AUDI A7 Sportback (2017-Present),Large,Lower Premium
1233,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Medium
1234,VOLVO,VOLVO V90 Cross Country (2019-Present),Large,Medium
1235,CITROEN,CITROEN C5 Crosstourer (2014-Present),Large,Medium
1236,BMW,BMW 5 Series Touring (G31 LCI) (2020-Present),Large,Large
1237,CITROEN,CITROEN C5 Tourer (2010-Present),Large,Large
1238,MAZDA,MAZDA 6 / Atenza Sedan (2018-Present),Large,Large
1239,VOLVO,VOLVO S90 (2019-Present),Large,Large
1273,AUDI,AUDI A5 (2016-Present),Premium Coupe,Premium Coupe
1274,AUDI,AUDI A5 (2016-Present),Premium Coupe,Medium
1275,AUDI,AUDI A5 (2016-Present),Premium Coupe,Medium
1276,AUDI,AUDI A5 (2016-Present),Premium Coupe,Medium
1277,AUDI,AUDI A5 (2016-Present),Premium Coupe,Medium
1278,AUDI,AUDI A5 (2016-Present),Premium Coupe,Medium
1279,AUDI,AUDI A5 (2016-Present),Premium Coupe,Medium
1280,AUDI,AUDI A5 (2016-Present),Premium Coupe,Premium Coupe
1285,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1286,OPEL,2013 Opel Cascada Coupe Cabrio,Coupe Cabrio,Coupe Cabrio
1287,OPEL,2013 Opel Cascada Coupe Cabrio,Coupe Cabrio,Coupe Cabrio
1288,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1289,MAZDA,MAZDA MX-5 / Miata Roadster Coupe (2012-Present),Coupe Cabrio,Roadster & Convertible
1290,JAGUAR,JAGUAR F-Type Convertible (2020-Present),Coupe Cabrio,Coupe
1291,MAZDA,MAZDA MX-5 / Miata RF (2016-Present),Coupe Cabrio,Roadster & Convertible
1292,JAGUAR,JAGUAR F-Type Convertible (2020-Present),Coupe Cabrio,Coupe Cabrio
1293,MERCEDES BENZ,MERCEDES BENZ SLC-Class (R172) (2016-Present),Coupe Cabrio,Coupe Cabrio
1294,MAZDA,MAZDA MX-5 / Miata RF (2016-Present),Coupe Cabrio,Roadster & Convertible
1295,OPEL,2013 Opel Cascada Coupe Cabrio,Coupe Cabrio,Coupe Cabrio
1296,MERCEDES BENZ,MERCEDES BENZ SLC-Class (R172) (2016-Present),Coupe Cabrio,Coupe Cabrio
1297,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1298,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1299,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1300,MERCEDES BENZ,MERCEDES BENZ SLC-Class (R172) (2016-Present),Coupe Cabrio,Coupe Cabrio
1301,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1302,OPEL,2013 Opel Cascada Coupe Cabrio,Coupe Cabrio,Coupe Cabrio
1303,MERCEDES BENZ,MERCEDES BENZ SLC-Class (R172) (2016-Present),Coupe Cabrio,Coupe Cabrio
1304,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1305,MAZDA,MAZDA MX-5 / Miata Roadster Coupe (2012-Present),Coupe Cabrio,Roadster & Convertible
1306,MERCEDES BENZ,MERCEDES BENZ SLC-Class (R172) (2016-Present),Coupe Cabrio,Coupe Cabrio
1307,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1308,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1309,BMW,BMW 4-Series Convertible (G23) (2020-Present),Coupe Cabrio,Medium
1310,JAGUAR,JAGUAR F-Type Convertible (2020-Present),Coupe Cabrio,Coupe
1311,OPEL,2013 Opel Cascada Coupe Cabrio,Coupe Cabrio,Coupe Cabrio
1312,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1313,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1314,MERCEDES BENZ,MERCEDES BENZ C-Class (A205) (2018-Present),Coupe Cabrio,Coupe
1315,MERCEDES BENZ,MERCEDES BENZ SLC-Class (R172) (2016-Present),Coupe Cabrio,Coupe Cabrio
1316,MAZDA,MAZDA MX-5 / Miata Roadster Coupe (2012-Present),Coupe Cabrio,Roadster & Convertible
1317,MERCEDES BENZ,MERCEDES BENZ C-Class (A205) (2018-Present),Coupe Cabrio,Medium Premium
1318,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1319,AUDI,AUDI A5 Cabriolet (2012-Present),Coupe Cabrio,Coupe Cabrio
1320,JAGUAR,JAGUAR F-Type Convertible (2020-Present),Coupe Cabrio,Coupe
1340,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Medium SUV
1341,LAND ROVER,LAND ROVER Discovery - LR4 (2013-Present),Premium SUV,Premium SUV
1342,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Medium SUV
1343,BMW,2024 BMW X6 M Competition,Premium SUV,Premium SUV
1344,BMW,2020 BMW X6,Premium SUV,Large SUV
1345,BMW,2020 BMW X5 M,Premium SUV,Premium SUV
1346,Mercedes-AMG,2017 Mercedes-AMG GLS 63,Premium SUV,Premium SUV
1347,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Medium SUV
1348,BMW,2024 BMW X5 M Competition,Premium SUV,Premium SUV
1349,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Crossover
1350,BMW,2020 BMW X6 M,Premium SUV,Premium SUV
1351,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Small SUV
1352,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Medium SUV
1353,LAND ROVER,LAND ROVER Discovery - LR4 (2013-Present),Premium SUV,Premium SUV
1354,BMW,2020 BMW X6,Premium SUV,Large SUV
1355,BMW,2020 BMW X5 M,Premium SUV,Premium SUV
1356,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Medium SUV
1357,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Crossover
1358,BMW,2024 BMW X6,Premium SUV,Premium SUV
1359,MERCEDES BENZ,MERCEDES BENZ GLK-Klasse (X204) (2008-Present),Premium SUV,Crossover
1360,BMW,2024 BMW X6,Premium SUV,Large SUV
1373,MERCEDES BENZ,MERCEDES BENZ T-Class (2022-Present),Upper Premium,Small SUV
1374,BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Luxury
1375,BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Large
1376,BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Large
1377,BMW,BMW 7 Series (2022-Present),Upper Premium,Luxury
1378,BMW,BMW 7 Series (2022-Present),Upper Premium,Luxury
1379,MERCEDES BENZ,MERCEDES BENZ T-Class (2022-Present),Upper Premium,Medium MPV
1380,MERCEDES BENZ,MERCEDES BENZ T-Class (2022-Present),Upper Premium,Small SUV
1386,TOYOTA,TOYOTA Verso-S (2010-Present),Small MPV,Mini
1387,BMW,BMW 2 Series Active Tourer (2021-Present),Small MPV,Crossover
1388,NISSAN,NISSAN Cube (2008-Present),Small MPV,Small SUV
1389,NISSAN,NISSAN Cube (2008-Present),Small MPV,Small SUV
1390,TOYOTA,TOYOTA Verso-S (2010-Present),Small MPV,Mini
1391,VOLKSWAGEN,VOLKSWAGEN Touran (2015-Present),Small MPV,Large MPV
1392,VOLKSWAGEN,VOLKSWAGEN Touran (2015-Present),Small MPV,Large MPV
1393,FIAT,FIAT 500L (2017-Present),Small MPV,Medium MPV
1394,FIAT,FIAT 500L (2017-Present),Small MPV,Crossover
1395,VOLKSWAGEN,VOLKSWAGEN Touran (2015-Present),Small MPV,Medium MPV
1396,TOYOTA,TOYOTA Verso-S (2010-Present),Small MPV,Crossover
1397,VOLKSWAGEN,VOLKSWAGEN Touran (2015-Present),Small MPV,Medium MPV
1398,TOYOTA,TOYOTA Verso-S (2010-Present),Small MPV,Mini
1399,BMW,BMW 2 Series Active Tourer (2021-Present),Small MPV,Crossover
1400,BMW,BMW 2 Series Active Tourer (2021-Present),Small MPV,Crossover
1401,CITROEN,CITROEN Berlingo (2018-Present),Small MPV,Large MPV
1402,VOLKSWAGEN,VOLKSWAGEN Touran (2015-Present),Small MPV,Medium MPV
1403,CITROEN,CITROEN Berlingo (2018-Present),Small MPV,Large MPV
1404,FIAT,FIAT 500L (2017-Present),Small MPV,Medium MPV
1405,FIAT,FIAT 500L (2017-Present),Small MPV,Crossover
1416,SKODA,2020 Skoda Kamiq,Small SUV,Compact
1417,SUZUKI,SUZUKI Vitara (2018-Present),Small SUV,Crossover
1418,MERCEDES BENZ,2021 Mercedes-Benz GLA,Small SUV,Crossover
1419,MAZDA,MAZDA CX-30 (2019-Present),Small SUV,Compact
1420,SUZUKI,SUZUKI Grand Vitara 3 Doors (2008-Present),Small SUV,Small SUV
1421,FORD,FORD EcoSport (2017-Present),Small SUV,Crossover
1422,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1423,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1424,MERCEDES BENZ,2021 Mercedes-Benz GLA,Small SUV,Crossover
1425,FORD,FORD Kuga (2019-Present),Small SUV,Crossover
1426,SUZUKI,SUZUKI Vitara (2018-Present),Small SUV,Crossover
1427,SEAT,SEAT Arona (2021-Present),Small SUV,Crossover
1428,SUZUKI,SUZUKI Vitara (2018-Present),Small SUV,Crossover
1429,FORD,FORD Kuga (2019-Present),Small SUV,Crossover
1430,MERCEDES BENZ,2021 Mercedes-Benz GLA,Small SUV,Crossover
1431,FORD,FORD Kuga (2019-Present),Small SUV,Crossover
1432,FORD,FORD EcoSport (2017-Present),Small SUV,Crossover
1433,SEAT,SEAT Arona (2021-Present),Small SUV,Crossover
1434,VOLKSWAGEN,2019 Volkswagen T-Cross,Small SUV,Crossover
1435,SKODA,2020 Skoda Kamiq,Small SUV,Compact
1436,FORD,FORD EcoSport (2017-Present),Small SUV,Crossover
1437,TOYOTA,TOYOTA Corolla Cross (2022-Present),Small SUV,Crossover
1438,SEAT,SEAT Ateca (2020-Present),Small SUV,Crossover
1439,SEAT,SEAT Arona (2021-Present),Small SUV,Crossover
1440,SUZUKI,SUZUKI Vitara (2018-Present),Small SUV,Crossover
1441,FORD,FORD EcoSport (2017-Present),Small SUV,Crossover
1442,TOYOTA,TOYOTA Corolla Cross (2022-Present),Small SUV,Crossover
1443,SUZUKI,SUZUKI Vitara (2018-Present),Small SUV,Crossover
1444,SKODA,2020 Skoda Kamiq,Small SUV,Compact
1445,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1446,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1447,FORD,FORD EcoSport (2017-Present),Small SUV,Crossover
1448,MERCEDES BENZ,2021 Mercedes-Benz GLA,Small SUV,Crossover
1449,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1450,VOLKSWAGEN,2019 Volkswagen T-Cross,Small SUV,Crossover
1451,MAZDA,MAZDA CX-30 (2019-Present),Small SUV,Compact
1452,MAZDA,MAZDA CX-30 (2019-Present),Small SUV,Compact
1453,SUZUKI,SUZUKI Vitara (2018-Present),Small SUV,Crossover
1454,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1455,SUZUKI,SUZUKI Grand Vitara 3 Doors (2008-Present),Small SUV,Small SUV
1456,FORD,FORD Kuga (2019-Present),Small SUV,Crossover
1457,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1458,CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Small SUV
1459,FORD,FORD Kuga (2019-Present),Small SUV,Crossover
1484,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1485,MERCEDES BENZ,MERCEDES BENZ V-Class (2019-Present),Large MPV,Large MPV
1486,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1487,VOLKSWAGEN,2022 Volkswagen Multivan,Large MPV,Large MPV
1488,DACIA,2023 Dacia Jogger,Large MPV,Large MPV
1489,DACIA,2023 Dacia Jogger,Large MPV,Medium MPV
1490,VOLKSWAGEN,VOLKSWAGEN Sharan (2010-Present),Large MPV,Large MPV
1491,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1492,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1493,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1494,VOLKSWAGEN,2022 Volkswagen Multivan,Large MPV,Large MPV
1495,MERCEDES BENZ,MERCEDES BENZ V-Class (2019-Present),Large MPV,Large MPV
1496,VOLKSWAGEN,2022 Volkswagen Multivan,Large MPV,Large MPV
1497,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1498,VOLKSWAGEN,2022 Volkswagen Multivan,Large MPV,Large MPV
1499,CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Medium MPV
1500,CHEVROLET,CHEVROLET Express (2008-Present),Large MPV,Large SUV
1501,DACIA,2023 Dacia Jogger,Large MPV,Medium MPV
1511,RENAULT,2013 Renault Grand Scenic,Medium MPV,Medium MPV
1512,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1513,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1514,VOLKSWAGEN,VOLKSWAGEN CrossTouran (2011-Present),Medium MPV,Medium MPV
1515,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1516,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1517,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1518,OPEL,OPEL Insignia Country Tourer (2013-Present),Medium MPV,Medium
1519,SEAT,SEAT Altea (2009-Present),Medium MPV,Crossover
1520,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1521,VOLKSWAGEN,VOLKSWAGEN CrossGolf (2010-Present),Medium MPV,Crossover
1522,FIAT,FIAT Doblo (2015-Present),Medium MPV,Large MPV
1523,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1524,VOLKSWAGEN,VOLKSWAGEN CrossGolf (2010-Present),Medium MPV,Medium MPV
1525,SEAT,SEAT Altea (2009-Present),Medium MPV,Crossover
1526,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1527,DACIA,DACIA Lodgy (2012-Present),Medium MPV,Large MPV
1528,VOLKSWAGEN,VOLKSWAGEN CrossTouran (2011-Present),Medium MPV,Medium MPV
1529,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1530,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1531,SEAT,SEAT Alhambra (2010-Present),Medium MPV,Medium MPV
1532,DACIA,DACIA Lodgy (2012-Present),Medium MPV,Large MPV
1533,SEAT,SEAT Alhambra (2010-Present),Medium MPV,Medium SUV
1534,RENAULT,RENAULT Grand Scenic (2016-Present),Medium MPV,Medium MPV
1535,MAZDA,MAZDA 5 / Premacy (2010-Present),Medium MPV,Crossover
1536,VOLKSWAGEN,VOLKSWAGEN CrossTouran (2011-Present),Medium MPV,Medium MPV
1537,SEAT,SEAT Alhambra (2010-Present),Medium MPV,Medium MPV
1538,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1539,RENAULT,RENAULT Scenic (2016-Present),Medium MPV,Medium MPV
1540,VOLKSWAGEN,VOLKSWAGEN CrossTouran (2011-Present),Medium MPV,Medium MPV
1541,FIAT,FIAT Doblo (2015-Present),Medium MPV,Large MPV
1542,SEAT,SEAT Altea (2009-Present),Medium MPV,Crossover
1543,DACIA,DACIA Lodgy (2012-Present),Medium MPV,Large MPV
1544,FIAT,FIAT 500L Living (2013-Present),Medium MPV,Medium MPV
1545,SEAT,SEAT Alhambra (2010-Present),Medium MPV,Medium SUV
1546,OPEL,OPEL Insignia Country Tourer (2013-Present),Medium MPV,Medium
1547,VOLKSWAGEN,VOLKSWAGEN CrossGolf (2010-Present),Medium MPV,Crossover
1548,OPEL,OPEL Insignia Country Tourer (2013-Present),Medium MPV,Medium
1549,SEAT,SEAT Altea (2009-Present),Medium MPV,Crossover
1550,MAZDA,MAZDA 5 / Premacy (2010-Present),Medium MPV,Medium MPV
1551,SEAT,SEAT Alhambra (2010-Present),Medium MPV,Medium MPV
1552,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1553,RENAULT,RENAULT Scenic (2016-Present),Medium MPV,Crossover
1554,RENAULT,RENAULT Grand Scenic (2016-Present),Medium MPV,Medium MPV
1555,RENAULT,RENAULT Scenic (2016-Present),Medium MPV,Crossover
1556,RENAULT,RENAULT Scenic (2016-Present),Medium MPV,Medium MPV
1557,SEAT,SEAT Altea (2009-Present),Medium MPV,Crossover
1558,VOLKSWAGEN,VOLKSWAGEN CrossTouran (2011-Present),Medium MPV,Medium MPV
1559,MAZDA,MAZDA 5 / Premacy (2010-Present),Medium MPV,Medium MPV
1560,RENAULT,RENAULT Grand Scenic (2016-Present),Medium MPV,Medium MPV
1561,FIAT,FIAT 500L Living (2013-Present),Medium MPV,Medium MPV
1562,OPEL,OPEL Insignia Country Tourer (2013-Present),Medium MPV,Medium
1563,RENAULT,2013 Renault Grand Scenic,Medium MPV,Medium MPV
1564,VOLKSWAGEN,VOLKSWAGEN CrossGolf (2010-Present),Medium MPV,Crossover
1565,SEAT,SEAT Alhambra (2010-Present),Medium MPV,Medium SUV
1566,FIAT,FIAT Doblo (2015-Present),Medium MPV,Large MPV
1567,CITROEN,2016 Citroen C4 Picasso,Medium MPV,Medium MPV
1568,VOLKSWAGEN,VOLKSWAGEN CrossGolf (2010-Present),Medium MPV,Crossover
1569,FIAT,FIAT 500L Living (2013-Present),Medium MPV,Crossover
1570,RENAULT,RENAULT Scenic (2016-Present),Medium MPV,Crossover
1571,VOLKSWAGEN,VOLKSWAGEN CrossTouran (2011-Present),Medium MPV,Medium MPV
1572,FIAT,FIAT Doblo (2015-Present),Medium MPV,Large MPV
1573,SEAT,SEAT Altea (2009-Present),Medium MPV,Compact
1608,MAZDA,2020 Mazda 2,Small,Compact
1609,PEUGEOT,PEUGEOT 108 5 Door (2014-Present),Small,Small
1610,FORD,FORD Fiesta 3 doors (2017-Present),Small,Compact
1611,RENAULT,2020 Renault Clio,Small,Compact
1612,CITROEN,CITROEN C1 5 Doors (2014-Present),Small,Mini
1613,FORD,FORD Fiesta 3 doors (2017-Present),Small,Mini
1614,FORD,FORD Fiesta 3 doors (2017-Present),Small,Mini
1615,FORD,FORD Fiesta 3 doors (2017-Present),Small,Compact
1616,CITROEN,CITROEN C1 5 Doors (2014-Present),Small,Small
1617,DATSUN,DATSUN Mi-Do (2014-Present),Small,Mini
1618,RENAULT,2020 Renault Clio,Small,Compact
1619,DAIHATSU,DAIHATSU Cuore (2007-Present),Small,Small
1620,HYUNDAI,2019 Hyundai i10,Small,Mini
1621,PEUGEOT,PEUGEOT 108 5 Door (2014-Present),Small,Mini
1622,FORD,FORD Fiesta 3 doors (2017-Present),Small,Mini
1623,MAZDA,2020 Mazda 2,Small,Compact
1624,FORD,FORD Fiesta 3 doors (2017-Present),Small,Compact
1625,FORD,FORD Fiesta 3 doors (2017-Present),Small,Compact
1626,FORD,FORD Fiesta 3 doors (2017-Present),Small,Compact
1627,FORD,FORD Fiesta 3 doors (2017-Present),Small,Compact
1638,OPEL,OPEL Adam Rocks (2014-Present),Mini,Mini
1639,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1640,LANCIA,LANCIA Ypsilon (846) (2021-Present),Mini,Mini
1641,MITSUBISHI,MITSUBISHI Space Star (2013-Present),Mini,Mini
1642,OPEL,OPEL Adam Rocks (2014-Present),Mini,Mini
1643,RENAULT,2014 Renault Twingo,Mini,Mini
1644,KIA,2021 Kia Picanto,Mini,Mini
1645,RENAULT,2014 Renault Twingo,Mini,Small
1646,SKODA,SKODA Citigo 3 doors (2017-Present),Mini,Mini
1647,VOLKSWAGEN,VOLKSWAGEN up! 5 doors (2016-Present),Mini,Mini
1648,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1649,OPEL,OPEL Adam Rocks (2014-Present),Mini,Mini
1650,OPEL,OPEL Adam Rocks (2014-Present),Mini,Mini
1651,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1652,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1653,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1654,OPEL,OPEL Adam (2013-Present),Mini,Mini
1655,OPEL,OPEL Adam (2013-Present),Mini,Mini
1656,SKODA,SKODA Citigo 3 doors (2017-Present),Mini,Mini
1657,OPEL,OPEL Adam (2013-Present),Mini,Mini
1658,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1659,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1660,KIA,2021 Kia Picanto,Mini,Mini
1661,RENAULT,2014 Renault Twingo,Mini,Mini
1662,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1663,SKODA,SKODA Citigo 3 doors (2017-Present),Mini,Mini
1664,HYUNDAI,HYUNDAI i30 (2012-Present),Mini,Compact
1665,RENAULT,2014 Renault Twingo,Mini,Mini
1666,OPEL,OPEL Adam (2013-Present),Mini,Mini
1667,LANCIA,LANCIA Ypsilon (846) (2021-Present),Mini,Mini
1668,OPEL,OPEL Adam Rocks (2014-Present),Mini,Mini
1669,RENAULT,RENAULT Twingo GT (2007-Present),Mini,Mini
1670,OPEL,OPEL Adam Rocks (2014-Present),Mini,Mini
1671,OPEL,OPEL Adam (2013-Present),Mini,Mini
1672,TOYOTA,TOYOTA Aygo (2018-Present),Mini,Mini
1673,TOYOTA,TOYOTA Aygo (2018-Present),Mini,Mini
