Company,Model,Silhouette
AUDI,AUDI A5 (2016-Present),0.26891437322395123
AUDI,AUDI A5 (2016-Present),0.3942161116923669
AUDI,AUDI A5 (2016-Present),0.39433843748888686
AUDI,AUDI A5 (2016-Present),0.3795290507822549
AUDI,AUDI A5 (2016-Present),0.4361211791757889
AUDI,AUDI A5 (2016-Present),0.2352635316032542
AUDI,AUDI A5 (2016-Present),0.20523043481798192
AUDI,AUDI A3 Cabriolet (2016-Present),0.5733303838120292
AUDI,AUDI A3 Cabriolet (2016-Present),0.5741150564544415
AUDI,AUDI A3 Cabriolet (2016-Present),0.5444377328511868
AUDI,AUDI A3 Cabriolet (2016-Present),0.543326718722135
AUDI,AUDI A3 Cabriolet (2016-Present),0.41013101697883436
AUDI,AUDI A3 Cabriolet (2016-Present),0.5054860382417047
AUDI,AUDI A3 Cabriolet (2016-Present),0.5087526400545478
AUDI,AUDI A3 Cabriolet (2016-Present),0.4295150419497742
AUDI,AUDI A3 Cabriolet (2016-Present),0.5018440719199627
AUDI,AUDI A5 Cabriolet (2012-Present),0.41409581872453916
AUDI,AUDI A5 Cabriolet (2012-Present),0.42330215574019936
AUDI,AUDI A5 Cabriolet (2012-Present),0.2927698277354118
AUDI,AUDI A5 Cabriolet (2012-Present),0.31622723746473064
AUDI,AUDI A5 Cabriolet (2012-Present),0.26675540457818997
AUDI,AUDI A5 Cabriolet (2012-Present),-0.011128914783121563
AUDI,AUDI A5 Cabriolet (2012-Present),0.45363738523504493
AUDI,AUDI A5 Cabriolet (2012-Present),0.39784360753565357
AUDI,AUDI A5 Cabriolet (2012-Present),0.3764799295160654
AUDI,AUDI A5 Cabriolet (2012-Present),0.4439869162032059
AUDI,AUDI A5 Cabriolet (2012-Present),0.3457623874401878
AUDI,AUDI A5 Cabriolet (2012-Present),0.3561894999715819
AUDI,AUDI A5 Cabriolet (2012-Present),0.3247420109843642
AUDI,AUDI A5 Cabriolet (2012-Present),0.3862268794800337
AUDI,AUDI A5 Cabriolet (2012-Present),-0.008417377713232924
AUDI,AUDI A5 Cabriolet (2012-Present),-0.22315874860004348
AUDI,AUDI A5 Cabriolet (2012-Present),-0.019945018371126808
AUDI,AUDI Q5 Sportback (2020-Present),0.3642927256826156
AUDI,AUDI Q5 Sportback (2020-Present),0.2619778733921616
AUDI,AUDI Q5 Sportback (2020-Present),0.20557799112343203
AUDI,AUDI Q5 Sportback (2020-Present),0.2409641913314387
AUDI,AUDI Q5 Sportback (2020-Present),0.09625205602332286
AUDI,AUDI Q3 Sportback (2019-Present),0.5155563646760484
AUDI,AUDI Q3 Sportback (2019-Present),0.5294379330363216
AUDI,AUDI Q3 Sportback (2019-Present),0.43966559430234325
BENTLEY,BENTLEY Bentayga (2020-Present),0.4174584048761592
BENTLEY,BENTLEY Bentayga Speed (2020-Present),0.3889661939521318
BENTLEY,BENTLEY Continental GTC (2018-Present),0.3576022157757864
BENTLEY,BENTLEY Mulsanne (2016-Present),0.34765193516004367
BENTLEY,BENTLEY Mulsanne (2016-Present),0.33128378018220084
BENTLEY,BENTLEY Mulsanne (2016-Present),0.34448335223801985
BMW,2024 BMW X5,0.4176241678879856
BMW,2024 BMW X5,0.33903116618766155
BMW,2024 BMW X5,0.3056709768491753
BMW,2019 BMW X5,0.36863356284415566
BMW,2019 BMW X5,0.36534143681394643
BMW,2019 BMW X5,0.2600494166854083
BMW,2019 BMW X5,0.2706928951201418
BMW,2019 BMW X5,0.2804671140623503
BMW,2019 BMW X5,0.3269964548538635
BMW,2024 BMW X6,0.43116599020350094
BMW,2024 BMW X6,0.3529517898428452
BMW,2024 BMW X6,0.3181006793360836
BMW,2020 BMW X6,0.42985474325481704
BMW,2020 BMW X6,0.31878077661658716
BMW,2020 BMW X6,0.3803257150901264
BMW,2020 BMW X6,0.28118505758839213
BMW,2020 BMW X6,0.34289856372085004
BMW,2024 BMW X6 M Competition,0.4247023897340145
BMW,2020 BMW X6 M,0.4283310715862191
BMW,2020 BMW X6 M,0.4259671717827684
BMW,2024 BMW X5 M Competition,0.4117855451580285
BMW,2020 BMW X5 M,0.4174499452093575
BMW,2020 BMW X5 M,0.41535070315220396
BMW,2024 BMW X2,0.5146974948600411
BMW,2019,0.32105852595823303
BMW,BMW X7 (2022-Present),0.3171781877872022
BMW,BMW X7 (2022-Present),0.3186651087851268
BMW,BMW M8 Coupe (2022-Present),0.37881826770822874
BMW,BMW 7 Series (2022-Present),0.3232483000062103
BMW,BMW 7 Series (2022-Present),0.3025807464263628
BMW,BMW 3-Series Touring (2022-Present),0.43788246485422605
BMW,BMW 3-Series Touring (2022-Present),0.3730742700390091
BMW,BMW 3-Series Touring (2022-Present),0.2063474498423167
BMW,BMW 3-Series Touring (2022-Present),0.1830430875457397
BMW,BMW 3-Series Touring (2022-Present),0.45799727125828515
BMW,BMW 3-Series Touring (2022-Present),0.37390374863144865
BMW,BMW 3-Series Touring (2022-Present),0.3707689480215903
