Company,Model,F1,F2
AUDI,2020 Audi A4 8W,1.1119634450315052,-0.2875873302894918
AUDI,2020 Audi A4 8W,-0.04609853995750405,0.0986991411249442
AUDI,2020 Audi A4 8W,0.3552629086179742,-0.16315359325351744
AUDI,2020 Audi A4 8W,0.6482876412999107,-0.19604127546742336
AUDI,AUDI S6 Sedan (2019-Present),1.255375759931906,0.6925731471856827
AUDI,2023 Audi RS7 Sportback,2.001061751828428,0.6344807568282761
AUDI,2023 Audi RS7 Sportback,2.514635627408071,0.2610920120613434
AUDI,AUDI RS4 Avant (B9) (2019-Present),1.4077919168811326,-0.06289277420560381
AUDI,AUDI A6 Avant (C8) (2018-Present),0.6248596297060592,0.6575959077413278
AUDI,AUDI A6 Avant (C8) (2018-Present),0.5842155961914112,0.6178415956702176
AUDI,AUDI A6 Avant (C8) (2018-Present),0.36480138297912,0.7344607985670577
AUDI,AUDI A6 Avant (C8) (2018-Present),0.38727675351408847,0.8031578231609718
AUDI,AUDI A6 Avant (C8) (2018-Present),-0.11725874054152215,1.0904221474646227
AUDI,AUDI A6 Avant (C8) (2018-Present),0.8823155926367858,0.7285900989244704
AUDI,AUDI A6 Avant (C8) (2018-Present),1.0769026262210655,0.666425103762019
AUDI,AUDI A6 (2018-Present),0.6524311633323048,0.5050362664771763
AUDI,AUDI A6 (2018-Present),0.6461666906932032,0.6631012530130107
AUDI,AUDI A6 (2018-Present),-0.02056081846645938,0.8726985311509038
AUDI,AUDI A6 (2018-Present),0.48290200148845946,0.5944103964851842
AUDI,AUDI A6 (2018-Present),0.46149930505418285,0.5167371822533389
AUDI,AUDI A6 (2018-Present),0.9112256832408886,0.5644860026212613
AUDI,AUDI A6 (2018-Present),1.1048294322328671,0.5105491812935798
AUDI,AUDI Q3 (2018-Present),-0.3368012509899383,0.12243102250746632
AUDI,AUDI Q3 (2018-Present),-0.4325376561244646,0.32960635534087385
AUDI,AUDI Q3 (2018-Present),0.11392820816220554,0.08460898566927726
AUDI,AUDI Q3 (2018-Present),0.4299268128799723,-0.1326071621114015
AUDI,AUDI Q3 (2018-Present),-0.16394682240743233,0.16748840362629333
AUDI,AUDI Q3 (2018-Present),0.13097188508495097,0.07899783219681768
AUDI,AUDI Q3 (2018-Present),-0.19635856423587583,0.10447443087963242
AUDI,AUDI Q3 (2018-Present),0.205004228731519,-0.2970742658486028
AUDI,2020 Audi A1 citycarver,-0.6472418362316652,-1.0252388872138276
AUDI,2020 Audi A1 citycarver,-0.6481748365677982,-1.009877917562899
AUDI,2020 Audi A1 citycarver,-0.6448496428680153,-0.972752457350462
AUDI,2020 Audi A1 citycarver,-0.09066047649300152,-1.3029176507626818
AUDI,AUDI A1 Sportback (2018-Present),-0.646498487297515,-1.081383174423203
AUDI,AUDI A1 Sportback (2018-Present),-0.6426425460493586,-1.0562526127474703
AUDI,AUDI A1 Sportback (2018-Present),-0.08941380778656935,-1.3749474524084846
AUDI,AUDI R8 Spyder (2018-Present),3.3239355577792424,-1.9040085527855888
AUDI,AUDI RS 3 Sportback (2021-Present),1.3989203652337439,-1.107198258125617
AUDI,AUDI A7 Sportback (2017-Present),0.6304636798341909,0.6231858803137644
