Company,Model,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,0.0009706064487763309,0.001895409344591113,4.0863145322292135e-05,0.00033509887119862315,0.0023465095914531396,3.089055236773189e-06,7.70196138748827e-05,3.78930653645919e-07,0.0010912766815078237,0.0012585524325484788,0.00203532098171953,0.0037543719221012767,1.1647371946002606e-06
ALPINE,ALPINE A110 (2017-Present),0.00015241886346817105,0.004466749801744584,4.6392145707381184e-05,7.808933917047296e-05,1.5142029414683508e-05,0.00037950867475319535,0.0005480212380716708,0.0004676597638800219,2.6228744455782797e-05,4.637123978584446e-05,0.00011298664683070523,0.0006412530354064406,0.0021483884936305034
ALPINE,ALPINE A110 (2017-Present),0.00011898901720978531,0.004345770683130605,1.2764672956460507e-05,1.1392711766562671e-05,7.377961742154984e-05,0.00039706298554777734,0.0007482679959068336,0.0005461963350756105,6.390399384007376e-05,0.0001211935675039737,2.5046394135660748e-05,0.0005239000240271079,0.0023702242927005394
ARIEL,ARIEL Atom 3 (2008-Present),0.00017523465543131366,0.008834112159429806,0.0005505508968186847,1.2695592999267096e-05,0.00038109549241669517,0.0012747515633382658,0.00027584852472353104,0.004554766726171892,2.8931446486730954e-05,0.003228389201035714,0.012885905621709024,0.01185255520466544,0.0016959355957775928
ARIEL,ARIEL Atom 3 (2008-Present),0.0003505464548171044,0.008450083505056919,0.00041210258983878997,6.773856740870407e-05,0.00012443827366564875,0.0015437267628624755,0.0001575721912156678,0.007744280596152894,3.097971137651275e-05,0.00039686966232158977,0.01925582842400186,0.012654794603945625,0.0007903533526849543
ARIEL,ARIEL Atom 3 (2008-Present),0.00043006848065393297,0.007502310287502085,0.00025250873405828966,6.0845767762617944e-05,3.6794984558750346e-07,0.0014716651893531508,4.234815846388664e-05,0.009589928793403701,6.889086478279581e-05,6.75290230002754e-05,0.013870777427377003,0.00949337784500152,0.0021092819694604153
ARIEL,ARIEL Atom 3 (2008-Present),0.00017523465543131366,0.008834112159429806,0.0005505508968186847,1.2695592999267096e-05,0.00038109549241669517,0.0012747515633382658,0.00027584852472353104,0.004554766726171892,2.8931446486730954e-05,0.003228389201035714,0.012885905621709024,0.01185255520466544,0.0016959355957775928
ASTON MARTIN,ASTON MARTIN V12 Vantage Roadster (2022-Present),0.002783388912983379,0.006536538798380818,0.0005444974193513574,0.00046730580200477054,0.0001118667280516119,0.000185854063877708,0.0039610226753275515,8.832373524559513e-05,0.0009434752990432038,5.744469789947377e-05,5.02400365943164e-05,0.00264159724468341,0.0012626816418346467
ASTON MARTIN,ASTON MARTIN DBX707 (2022-Present),0.005289830366709686,0.0001527645957928358,0.0005958168108539215,0.00027576015857109495,0.002015806730937694,4.487464005373928e-05,3.629627962373143e-05,8.132964318247952e-05,0.0010843401530740585,0.005566424478426292,0.0009139612736780545,0.002961948192687129,0.0005789060368761194
ASTON MARTIN,ASTON MARTIN DBX (2020-Present),0.0038914084134779496,3.1820589034251975e-07,0.0006605372889277241,1.855372290336473e-05,0.00042281638513907196,2.2408611135877066e-05,6.93624612562631e-06,0.00021051557331658953,0.0005107715311538769,0.00018507127976129776,0.0005376642577162905,0.002421703602718337,0.0009637878136795558
