Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity
AUDI,AUDI A8 (2017-Present),Large,Diesel,286.0,600.0,2995.0,203.6,76.6,58.0,118.0,17.8,4354.0,155.0,5.9,39.9,19.0
AUDI,AUDI A8 (2017-Present),Large,Hybrid Gasoline,340.0,500.0,2995.0,203.6,76.6,58.0,118.0,13.8,5071.0,155.0,4.9,94.1,19.0
AUDI,AUDI A8 L (2017-Present),Large,Gasoline,340.0,500.0,2995.0,208.7,76.6,58.5,123.1,17.8,4453.0,155.0,5.7,31.4,19.0
AUDI,AUDI A8 L (2017-Present),Large,Diesel,286.0,600.0,2967.0,208.7,76.6,58.5,123.1,17.8,4575.0,155.0,5.9,40.6,19.0
AUDI,AUDI A8 L (2017-Present),Large,Hybrid Gasoline,340.0,500.0,2995.0,208.7,76.6,58.5,123.1,13.8,5137.0,155.0,4.9,94.1,17.2
AUDI,AUDI A5 (2016-Present),Premium Coupe,Gasoline,190.0,320.0,1984.0,184.0,72.7,54.0,108.8,16.4,3230.0,155.0,7.2,39.9,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Gasoline,190.0,320.0,1984.0,184.0,72.7,54.0,108.8,16.4,3296.0,149.0,7.3,43.6,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Gasoline,252.0,370.0,1984.0,184.0,72.7,54.0,108.8,16.4,3351.0,155.0,6.3,43.6,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Gasoline,252.0,370.0,1984.0,184.0,72.7,54.0,108.8,16.4,3472.0,155.0,5.8,37.3,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Diesel,190.0,400.0,1968.0,184.0,72.7,54.0,108.8,16.4,3384.0,149.0,7.7,52.3,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Diesel,190.0,400.0,1968.0,184.0,72.7,54.0,108.8,16.4,3450.0,148.0,7.7,54.7,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Diesel,190.0,400.0,1968.0,184.0,72.7,54.0,108.8,16.4,3616.0,146.0,7.2,51.1,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Diesel,190.0,400.0,1968.0,184.0,72.7,54.0,108.8,16.4,3450.0,130.0,7.7,56.0,14.3
AUDI,AUDI A5 (2016-Present),Premium Coupe,Diesel,218.0,400.0,2967.0,184.0,72.7,54.0,108.8,16.4,3549.0,155.0,6.6,52.3,14.3
